2018-08-07 15:28:06,902 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 15:28:06,921 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:28:06 CST 2018]; root of context hierarchy
2018-08-07 15:28:06,948 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 15:28:07,553 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 15:28:07,555 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 15:28:07,737 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:28:06 CST 2018]; root of context hierarchy
2018-08-07 15:28:07,796 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:28:06 CST 2018]; root of context hierarchy
2018-08-07 15:28:08,473 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 15:28:08,556 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1646 ms
2018-08-07 15:32:30,126 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:28:06 CST 2018]; root of context hierarchy
2018-08-07 15:32:37,738 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 15:32:37,764 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:32:37 CST 2018]; root of context hierarchy
2018-08-07 15:32:37,791 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 15:32:38,456 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 15:32:38,459 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
